"","year","price_hrt_30g_1"
"1",2019,13.6035133961567
"2",2020,12.0684114629872
"3",2021,14.4843177550348
"4",2022,16.3105932994609
"5",2023,18.8298634515487
"6",2024,21.6124871359398
