"","year","price_hrt_30g_2"
"1",2017,9.83
"2",2018,10.4313254035684
"3",2019,11.0718453844893
"4",2020,11.1854475865401
"5",2021,11.5385793177647
"6",2022,12.4920349920712
"7",2023,13.9133902102503
